Generation,Score,Fitness,Best Score,Best Fitness
332,1,65.68,8,476.0
333,2,88.69,8,484.0
334,2,82.29,10,595.0
335,1,61.58,8,478.0
336,2,87.04,15,820.0
337,1,70.44,10,533.0
338,2,85.81,9,480.0
339,2,82.91,12,651.0
340,2,87.26,16,885.0
341,2,80.06,11,622.0
342,2,90.5,16,950.0
343,1,72.84,19,1051.0
344,2,94.66,9,490.0
345,2,89.05,12,668.0
346,2,80.53,11,579.0
347,1,70.49,6,373.0
348,2,85.82,12,644.0
349,1,71.74,7,403.0
350,1,76.28,8,490.0
351,1,65.96,6,297.0
352,1,76.52,8,491.0
353,2,86.72,10,536.0
354,1,74.14,10,528.0
355,2,82.98,8,482.0
356,2,77.92,9,530.0
357,1,75.18,7,424.0
358,2,95.84,17,989.0
359,2,88.45,9,530.0
360,2,89.04,12,645.0
361,2,106.98,12,747.0
362,2,101.39,12,736.0
363,2,79.93,10,638.0
364,2,93.61,20,1084.0
365,1,75.08,7,441.0
366,2,92.96,8,487.0
367,2,108.16,13,760.0
368,2,110.23,16,929.0
369,2,109.43,20,1079.0
370,2,87.56,6,383.0
371,1,62.51,7,444.0
372,2,88.96,6,360.0
373,2,90.72,8,472.0
374,2,96.68,13,724.0
375,2,91.54,13,726.0
376,2,92.38,13,691.0
377,2,89.99,11,654.0
378,2,107.97,11,607.0
379,2,82.53,8,493.0
380,2,97.38,14,810.0
381,2,93.73,17,934.0
382,2,102.81,13,750.0
383,2,84.89,13,759.0
384,1,73.37,9,552.0
385,1,76.53,8,476.0
386,2,90.25,10,608.0
387,2,85.72,12,725.0
388,2,88.17,8,485.0
389,2,85.53,11,649.0
390,1,67.72,8,490.0
391,2,85.44,12,687.0
392,1,73.86,11,607.0
393,2,87.12,11,571.0
394,2,79.39,12,718.0
395,2,88.97,10,518.0
396,2,95.72,9,480.0
397,2,101.45,9,580.0
398,2,98.69,11,648.0
399,2,111.05,8,484.0
400,2,91.8,8,486.0
401,2,110.4,19,1055.0
402,2,89.52,12,619.0
403,2,79.77,12,706.0
404,2,117.27,11,566.0
405,2,137.78,16,847.0
406,2,112.08,13,748.0
407,2,119.76,11,682.0
408,2,128.24,12,714.0
409,2,103.55,9,545.0
410,2,114.43,13,793.0
411,2,88.78,8,474.0
412,2,109.96,12,647.0
413,2,99.25,8,497.0
414,2,97.85,9,530.0
415,2,121.74,16,844.0
416,2,98.07,10,524.0
417,2,96.53,12,645.0
418,2,86.6,10,580.0
419,2,102.23,12,679.0
420,2,93.71,12,729.0
421,2,90.4,9,483.0
422,2,92.67,11,704.0
423,2,83.09,6,375.0
424,2,82.96,11,566.0
425,2,109.86,6,373.0
426,2,98.58,9,578.0
427,2,109.83,11,570.0
428,2,103.02,11,649.0
429,2,104.32,11,656.0
430,2,80.67,6,374.0
431,2,104.52,18,973.0
432,2,107.91,14,829.0
433,2,117.06,12,717.0
434,2,119.44,11,665.0
435,2,91.27,10,613.0
436,2,100.53,8,503.0
437,2,98.61,12,616.0
438,2,116.9,17,1007.0
439,2,106.22,13,726.0
440,2,122.31,14,775.0
441,2,113.48,11,675.0
442,2,98.67,9,561.0
443,2,128.03,13,694.0
444,2,114.93,9,550.0
445,2,128.47,17,962.0
446,2,105.66,10,535.0
447,2,102.54,10,605.0
448,2,125.67,9,567.0
449,2,105.98,9,558.0
450,2,139.7,18,991.0
451,2,130.0,10,579.0
452,2,101.77,9,520.0
453,2,127.56,19,1097.0
454,2,120.91,15,819.0
455,2,137.45,20,1091.0
456,2,106.29,8,457.0
457,2,126.36,13,711.0
458,2,122.51,12,688.0
459,2,127.9,10,619.0
460,2,126.81,10,616.0
461,2,123.99,19,1019.0
462,2,113.63,19,1077.0
463,2,104.59,13,696.0
464,2,119.56,14,765.0
465,2,100.67,10,600.0
466,2,104.16,11,663.0
467,2,117.83,18,969.0
468,2,113.33,8,489.0
469,2,112.5,15,827.0
470,2,125.51,11,663.0
471,2,118.82,13,789.0
472,2,120.7,14,771.0
473,2,108.31,17,918.0
474,2,101.33,18,1028.0
475,2,113.13,12,645.0
476,2,89.12,11,662.0
477,2,101.57,17,938.0
478,2,98.24,11,614.0
479,2,110.78,12,745.0
480,2,82.6,9,576.0
481,2,124.33,14,860.0
482,2,105.37,9,554.0
483,2,129.15,12,725.0
484,2,102.86,14,751.0
485,2,137.26,11,592.0
486,2,110.04,12,703.0
487,2,93.25,10,560.0
488,2,127.62,13,770.0
489,2,97.27,8,411.0
490,2,107.81,11,663.0
491,2,108.88,9,546.0
492,2,98.71,9,544.0
493,2,127.03,18,1035.0
494,2,140.72,16,946.0
495,2,106.25,15,793.0
496,2,107.65,13,699.0
497,2,101.44,10,538.0
498,2,105.25,21,1143.0
499,2,132.66,13,777.0
500,2,99.53,15,826.0
501,2,122.66,18,997.0
502,3,143.6,19,1052.0
503,2,110.26,13,777.0
504,3,142.97,21,1167.0
505,2,114.03,13,802.0
506,2,129.75,20,1175.0
507,2,116.05,11,620.0
508,2,122.32,11,586.0
509,3,151.5,16,949.0
510,2,106.23,12,636.0
511,2,120.78,24,1310.0
